frame,body_landmark,x,y,z,visibility,hand_label
5,LEFT_SHOULDER,0.640602,0.964116,-0.435247,0.997173,N/A
5,RIGHT_SHOULDER,0.261161,0.955044,-0.30283,0.995948,N/A
5,LEFT_ELBOW,0.782998,1.310781,-0.982835,0.621767,N/A
5,RIGHT_ELBOW,0.110251,1.360115,-0.845744,0.642553,N/A
5,LEFT_WRIST,0.749533,1.02459,-1.618264,0.962662,N/A
5,RIGHT_WRIST,0.134253,1.057088,-1.653391,0.963309,N/A
5,LEFT_PINKY,0.771017,0.927647,-1.724991,0.955679,N/A
5,RIGHT_PINKY,0.138867,0.942481,-1.751335,0.949078,N/A
5,LEFT_INDEX,0.763161,0.894488,-1.57574,0.965167,N/A
5,RIGHT_INDEX,0.162589,0.899652,-1.650824,0.960707,N/A
5,LEFT_THUMB,0.735446,0.935762,-1.644761,0.951438,N/A
5,RIGHT_THUMB,0.173315,0.945382,-1.633208,0.950354,N/A
5,LEFT_HIP,0.576337,1.69241,-0.085814,0.001988,N/A
5,RIGHT_HIP,0.32174,1.693931,0.09011,0.002069,N/A
5,LEFT_KNEE,0.587223,2.160382,-0.251407,0.004038,N/A
5,RIGHT_KNEE,0.346602,2.246965,-0.12234,0.001584,N/A
5,LEFT_ANKLE,0.626806,2.742569,0.183177,4.8e-05,N/A
5,RIGHT_ANKLE,0.399797,2.751526,0.10117,2.4e-05,N/A
5,LEFT_HEEL,0.633597,2.83845,0.198489,2e-05,N/A
5,RIGHT_HEEL,0.404153,2.833523,0.112462,1.9e-05,N/A
5,LEFT_FOOT_INDEX,0.603997,2.902329,-0.290231,0.000165,N/A
5,RIGHT_FOOT_INDEX,0.431463,2.89537,-0.390431,0.000225,N/A
5,HAND_0,0.692554,1.118683,0.0,0.0,Right
5,HAND_1,0.640059,1.076944,-0.034777,0.0,Right
5,HAND_2,0.607616,1.003213,-0.058921,0.0,Right
5,HAND_3,0.589279,0.938357,-0.079744,0.0,Right
5,HAND_4,0.567805,0.869081,-0.102259,0.0,Right
5,HAND_5,0.668175,0.909462,-0.057688,0.0,Right
5,HAND_6,0.667392,0.820016,-0.089723,0.0,Right
5,HAND_7,0.661226,0.764547,-0.112748,0.0,Right
5,HAND_8,0.654723,0.711903,-0.130692,0.0,Right
5,HAND_9,0.707919,0.922414,-0.063124,0.0,Right
5,HAND_10,0.72526,0.821985,-0.09433,0.0,Right
5,HAND_11,0.732314,0.754847,-0.119739,0.0,Right
5,HAND_12,0.735951,0.689434,-0.140076,0.0,Right
5,HAND_13,0.737425,0.95877,-0.071366,0.0,Right
5,HAND_14,0.753722,0.874776,-0.104985,0.0,Right
5,HAND_15,0.756038,0.819587,-0.129265,0.0,Right
5,HAND_16,0.752329,0.76695,-0.147167,0.0,Right
5,HAND_17,0.762871,1.011084,-0.081238,0.0,Right
